Tanggal,Provinsi,Running Sum of divaksin1 (ribu),divaksin1 (ribu)
1/13/2021,Yogyakarta,0,0
1/14/2021,Yogyakarta,0.872,0.872
1/15/2021,Yogyakarta,1.164,0.292
1/16/2021,Yogyakarta,1.476,0.312
1/18/2021,Yogyakarta,3.358,1.882
1/19/2021,Yogyakarta,4.815,1.457
1/20/2021,Yogyakarta,6.109,1.294
1/21/2021,Yogyakarta,7.276,1.167
1/22/2021,Yogyakarta,7.837,0.561
1/23/2021,Yogyakarta,8.449,0.612
1/24/2021,Yogyakarta,8.658,0.209
1/25/2021,Yogyakarta,10.051,1.393
1/26/2021,Yogyakarta,11.492,1.441
1/27/2021,Yogyakarta,13.281,1.789
1/28/2021,Yogyakarta,17.134,3.853
1/29/2021,Yogyakarta,18.125,0.991
1/30/2021,Yogyakarta,18.774,0.649
1/31/2021,Yogyakarta,18.824,0.05
2/1/2021,Yogyakarta,20.906,2.082
2/2/2021,Yogyakarta,23.442,2.536
2/3/2021,Yogyakarta,25.844,2.402
2/4/2021,Yogyakarta,27.896,2.052
2/5/2021,Yogyakarta,29.23,1.334
2/6/2021,Yogyakarta,30.359,1.129
2/7/2021,Yogyakarta,30.399,0.04
2/8/2021,Yogyakarta,31.008,0.609
2/9/2021,Yogyakarta,31.429,0.421
2/10/2021,Yogyakarta,31.853,0.424
2/11/2021,Yogyakarta,32.501,0.648
2/12/2021,Yogyakarta,32.502,0.001
2/13/2021,Yogyakarta,32.985,0.483
2/14/2021,Yogyakarta,32.989,0.004
2/15/2021,Yogyakarta,33.216,0.227
2/16/2021,Yogyakarta,33.451,0.235
2/17/2021,Yogyakarta,33.632,0.181
2/18/2021,Yogyakarta,33.902,0.27
2/19/2021,Yogyakarta,34.047,0.145
2/20/2021,Yogyakarta,35.006,0.959
2/21/2021,Yogyakarta,35.006,0
2/22/2021,Yogyakarta,35.448,0.442
2/23/2021,Yogyakarta,35.653,0.205
2/24/2021,Yogyakarta,35.785,0.132
2/25/2021,Yogyakarta,35.917,0.132
2/26/2021,Yogyakarta,35.995,0.078
2/27/2021,Yogyakarta,36.278,0.283
2/28/2021,Yogyakarta,36.508,0.23
