Tanggal,Provinsi,Kasus Aktif
2020-03-21,Bali,2
2020-03-22,Bali,1
2020-03-23,Bali,4
2020-03-24,Bali,4
2020-03-25,Bali,7
2020-03-26,Bali,7
2020-03-27,Bali,7
2020-03-28,Bali,7
2020-03-29,Bali,8
2020-03-30,Bali,17
2020-03-31,Bali,17
2020-04-01,Bali,13
2020-04-02,Bali,13
2020-04-03,Bali,15
2020-04-04,Bali,20
2020-04-05,Bali,15
2020-04-06,Bali,23
2020-04-07,Bali,23
2020-04-08,Bali,29
2020-04-09,Bali,43
2020-04-10,Bali,54
2020-04-11,Bali,58
2020-04-12,Bali,60
2020-04-13,Bali,64
2020-04-14,Bali,69
2020-04-15,Bali,73
2020-04-16,Bali,79
2020-04-17,Bali,86
2020-04-18,Bali,92
2020-04-19,Bali,94
2020-04-20,Bali,95
2020-04-21,Bali,105
2020-04-22,Bali,101
2020-04-23,Bali,108
2020-04-24,Bali,118
2020-04-25,Bali,109
2020-04-26,Bali,107
2020-04-27,Bali,109
2020-04-28,Bali,123
2020-04-29,Bali,115
2020-04-30,Bali,105
2020-05-01,Bali,110
2020-05-02,Bali,104
2020-05-03,Bali,107
2020-05-04,Bali,108
2020-05-05,Bali,113
2020-05-06,Bali,107
2020-05-07,Bali,100
2020-05-08,Bali,101
2020-05-09,Bali,105
2020-05-10,Bali,103
2020-05-11,Bali,100
2020-05-12,Bali,109
2020-05-13,Bali,108
2020-05-14,Bali,110
2020-05-15,Bali,107
2020-05-16,Bali,99
2020-05-17,Bali,94
2020-05-18,Bali,98
2020-05-19,Bali,92
2020-05-20,Bali,91
2020-05-21,Bali,90
2020-05-22,Bali,92
2020-05-23,Bali,97
2020-05-24,Bali,97
2020-05-25,Bali,97
2020-05-26,Bali,108
2020-05-27,Bali,109
2020-05-28,Bali,102
2020-05-29,Bali,119
2020-05-30,Bali,123
2020-05-31,Bali,132
2020-06-01,Bali,143
2020-06-02,Bali,148
2020-06-03,Bali,136
2020-06-04,Bali,141
2020-06-05,Bali,150
2020-06-06,Bali,181
2020-06-07,Bali,204
2020-06-08,Bali,212
2020-06-09,Bali,194
2020-06-10,Bali,223
2020-06-11,Bali,230
2020-06-12,Bali,242
2020-06-13,Bali,255
2020-06-14,Bali,261
2020-06-15,Bali,252
2020-06-16,Bali,266
2020-06-17,Bali,281
2020-06-18,Bali,336
2020-06-19,Bali,404
2020-06-20,Bali,420
2020-06-21,Bali,438
2020-06-22,Bali,456
2020-06-23,Bali,468
2020-06-24,Bali,503
2020-06-25,Bali,546
2020-06-26,Bali,522
2020-06-27,Bali,607
2020-06-28,Bali,630
2020-06-29,Bali,648
2020-06-30,Bali,681
2020-07-01,Bali,652
2020-07-02,Bali,749
2020-07-03,Bali,777
2020-07-04,Bali,842
2020-07-05,Bali,862
2020-07-06,Bali,903
2020-07-07,Bali,881
2020-07-08,Bali,867
2020-07-09,Bali,827
2020-07-10,Bali,882
2020-07-11,Bali,768
2020-07-12,Bali,757
2020-07-13,Bali,722
2020-07-14,Bali,759
2020-07-15,Bali,779
2020-07-16,Bali,782
2020-07-17,Bali,777
2020-07-18,Bali,781
2020-07-19,Bali,713
2020-07-20,Bali,679
2020-07-21,Bali,700
2020-07-22,Bali,710
2020-07-23,Bali,696
2020-07-24,Bali,688
2020-07-25,Bali,658
2020-07-26,Bali,620
2020-07-27,Bali,601
2020-07-28,Bali,574
2020-07-29,Bali,551
2020-07-30,Bali,524
2020-07-31,Bali,483
2020-08-01,Bali,476
2020-08-02,Bali,469
2020-08-03,Bali,455
2020-08-04,Bali,445
2020-08-05,Bali,439
2020-08-06,Bali,428
2020-08-07,Bali,425
2020-08-08,Bali,431
2020-08-09,Bali,461
2020-08-10,Bali,460
2020-08-11,Bali,457
2020-08-12,Bali,455
2020-08-13,Bali,453
2020-08-14,Bali,447
2020-08-15,Bali,449
2020-08-16,Bali,437
2020-08-17,Bali,436
2020-08-18,Bali,459
2020-08-19,Bali,468
2020-08-20,Bali,490
2020-08-21,Bali,503
2020-08-22,Bali,513
2020-08-23,Bali,508
2020-08-24,Bali,517
2020-08-25,Bali,538
2020-08-26,Bali,555
2020-08-27,Bali,561
2020-08-28,Bali,581
2020-08-29,Bali,600
2020-08-30,Bali,658
2020-08-31,Bali,705
2020-09-01,Bali,763
2020-09-02,Bali,826
2020-09-03,Bali,879
2020-09-04,Bali,985
2020-09-05,Bali,1046
2020-09-06,Bali,1090
2020-09-07,Bali,1158
2020-09-08,Bali,1196
2020-09-09,Bali,1259
2020-09-10,Bali,1246
2020-09-11,Bali,1288
2020-09-12,Bali,1352
2020-09-13,Bali,1361
2020-09-14,Bali,1351
2020-09-15,Bali,1359
2020-09-16,Bali,1354
2020-09-17,Bali,1319
2020-09-18,Bali,1271
2020-09-19,Bali,1209
2020-09-20,Bali,1195
2020-09-21,Bali,1248
2020-09-22,Bali,1230
2020-09-23,Bali,1267
2020-09-24,Bali,1250
2020-09-25,Bali,1316
2020-09-26,Bali,1290
2020-09-27,Bali,1291
2020-09-28,Bali,1250
2020-09-29,Bali,1225
2020-09-30,Bali,1238
2020-10-01,Bali,1254
2020-10-02,Bali,1287
2020-10-03,Bali,1281
2020-10-04,Bali,1258
2020-10-05,Bali,1210
2020-10-06,Bali,1174
2020-10-07,Bali,1154
2020-10-08,Bali,1129
2020-10-09,Bali,1125
2020-10-10,Bali,1110
2020-10-11,Bali,1118
2020-10-12,Bali,1070
2020-10-13,Bali,997
2020-10-14,Bali,958
2020-10-15,Bali,900
2020-10-16,Bali,858
2020-10-17,Bali,849
2020-10-18,Bali,842
2020-10-19,Bali,848
2020-10-20,Bali,816
2020-10-21,Bali,806
2020-10-22,Bali,793
2020-10-23,Bali,787
2020-10-24,Bali,764
2020-10-25,Bali,790
2020-10-26,Bali,796
2020-10-27,Bali,781
2020-10-28,Bali,811
2020-10-29,Bali,812
2020-10-30,Bali,766
2020-10-31,Bali,853
2020-11-01,Bali,751
2020-11-02,Bali,689
2020-11-03,Bali,667
2020-11-04,Bali,662
2020-11-05,Bali,617
2020-11-06,Bali,607
2020-11-07,Bali,625
2020-11-08,Bali,621
2020-11-09,Bali,618
2020-11-10,Bali,660
2020-11-11,Bali,617
2020-11-12,Bali,655
2020-11-13,Bali,663
2020-11-14,Bali,698
2020-11-15,Bali,663
2020-11-16,Bali,660
2020-11-17,Bali,653
2020-11-18,Bali,636
2020-11-19,Bali,658
2020-11-20,Bali,663
2020-11-21,Bali,684
2020-11-22,Bali,725
2020-11-23,Bali,727
2020-11-24,Bali,732
2020-11-25,Bali,758
2020-11-26,Bali,814
2020-11-27,Bali,840
2020-11-28,Bali,835
2020-11-29,Bali,887
2020-11-30,Bali,859
2020-12-01,Bali,911
2020-12-02,Bali,1018
2020-12-03,Bali,1118
2020-12-04,Bali,1168
2020-12-05,Bali,1123
2020-12-06,Bali,1157
2020-12-07,Bali,944
2020-12-08,Bali,890
2020-12-09,Bali,927
2020-12-10,Bali,936
2020-12-11,Bali,926
2020-12-12,Bali,898
2020-12-13,Bali,904
2020-12-14,Bali,879
2020-12-15,Bali,875
2020-12-16,Bali,872
2020-12-17,Bali,901
2020-12-18,Bali,941
2020-12-19,Bali,951
2020-12-20,Bali,955
2020-12-21,Bali,971
2020-12-22,Bali,921
2020-12-23,Bali,946
2020-12-24,Bali,939
2020-12-25,Bali,941
2020-12-26,Bali,929
2020-12-27,Bali,894
2020-12-28,Bali,897
2020-12-29,Bali,926
2020-12-30,Bali,967
2020-12-31,Bali,1043
2021-01-01,Bali,1050
2021-01-02,Bali,1082
2021-01-03,Bali,1121
2021-01-04,Bali,1101
2021-01-05,Bali,1156
2021-01-06,Bali,1185
2021-01-07,Bali,1232
2021-01-08,Bali,1345
2021-01-09,Bali,1420
2021-01-10,Bali,1474
2021-01-11,Bali,1561
2021-01-12,Bali,1769
2021-01-13,Bali,1910
2021-01-14,Bali,1957
2021-01-15,Bali,2060
2021-01-16,Bali,2227
2021-01-17,Bali,2359
2021-01-18,Bali,2342
2021-01-19,Bali,2356
2021-01-20,Bali,2598
2021-01-21,Bali,2852
2021-01-22,Bali,2927
2021-01-23,Bali,2906
2021-01-24,Bali,2973
2021-01-25,Bali,2843
2021-01-26,Bali,3147
2021-01-27,Bali,3432
2021-01-28,Bali,3502
2021-01-29,Bali,3603
2021-01-30,Bali,3553
2021-01-31,Bali,3512
2021-02-01,Bali,3493
2021-02-02,Bali,3424
2021-02-03,Bali,3440
2021-02-04,Bali,3282
2021-02-05,Bali,3315
2021-02-06,Bali,3116
2021-02-07,Bali,3109
2021-02-08,Bali,2901
2021-02-09,Bali,3075
2021-02-10,Bali,3053
2021-02-11,Bali,2990
2021-02-12,Bali,2977
2021-02-13,Bali,2893
2021-02-14,Bali,2797
2021-02-15,Bali,2734
2021-02-16,Bali,2685
2021-02-17,Bali,2812
2021-02-18,Bali,2762
2021-02-19,Bali,2635
2021-02-20,Bali,2361
2021-02-21,Bali,2404
2021-02-22,Bali,2348
2021-02-23,Bali,2317
2021-02-24,Bali,2325
2021-02-25,Bali,2289
2021-02-26,Bali,2344
2021-02-27,Bali,2142
2021-02-28,Bali,2219
2021-03-01,Bali,2144
2021-03-02,Bali,2078
2021-03-03,Bali,2046
2021-03-04,Bali,2041
2021-03-05,Bali,1997
2021-03-06,Bali,1926
2021-03-07,Bali,1855
2021-03-08,Bali,1815
2021-03-09,Bali,1782
2021-03-10,Bali,1802
2021-03-11,Bali,1810
2021-03-12,Bali,1767
2021-03-13,Bali,1760
2021-03-14,Bali,1760
2021-03-15,Bali,1625
2021-03-16,Bali,1474
2021-03-17,Bali,1414
2021-03-18,Bali,1523
2021-03-19,Bali,1512
2021-03-20,Bali,1436
2021-03-21,Bali,1479
2021-03-22,Bali,1454
2021-03-23,Bali,1487
2021-03-24,Bali,1534
2021-03-25,Bali,1594
2021-03-26,Bali,1614
2021-03-27,Bali,1629
2021-03-28,Bali,1601
2021-03-29,Bali,1531
2021-03-30,Bali,1531
2021-03-31,Bali,1573
2021-04-01,Bali,1554
2021-04-02,Bali,1582
2021-04-03,Bali,1539
2021-04-04,Bali,1559
2021-04-05,Bali,1569
2021-04-06,Bali,1566
2021-04-07,Bali,1622
2021-04-08,Bali,1607
2021-04-09,Bali,1639
2021-04-10,Bali,1662
2021-04-11,Bali,1656
2021-04-12,Bali,1659
2021-04-13,Bali,1680
2021-04-14,Bali,1729
2021-04-15,Bali,1748
2021-04-16,Bali,1622
2021-04-17,Bali,1611
2021-04-18,Bali,1593
2021-04-19,Bali,1491
2021-04-20,Bali,1418
2021-04-21,Bali,1454
2021-04-22,Bali,1393
2021-04-23,Bali,1374
2021-04-24,Bali,1390
2021-04-25,Bali,1374
2021-04-26,Bali,1298
2021-04-27,Bali,1311
2021-04-28,Bali,1336
2021-04-29,Bali,1290
2021-04-30,Bali,1283
2021-05-01,Bali,1254
2021-05-02,Bali,1236
2021-05-03,Bali,1221
2021-05-04,Bali,1238
2021-05-05,Bali,1255
2021-05-06,Bali,1252
2021-05-07,Bali,1190
2021-05-08,Bali,1193
2021-05-09,Bali,1172
2021-05-10,Bali,1123
2021-05-11,Bali,1119
2021-05-12,Bali,1118
2021-05-13,Bali,1134
2021-05-14,Bali,1082
2021-05-15,Bali,1001
2021-05-16,Bali,993
2021-05-17,Bali,949
2021-05-18,Bali,921
2021-05-19,Bali,899
2021-05-20,Bali,876
2021-05-21,Bali,817
2021-05-22,Bali,777
2021-05-23,Bali,791
2021-05-24,Bali,786
2021-05-25,Bali,760
2021-05-26,Bali,773
